Membership No  Date Joined  Active  
    91551      2018-6-20    no    
    26121      2018-2-1     no    
    14744      2017-4-2     yes   
    44300      2016-2-20    yes   
    75082      2018-12-24   no    
    28228      2019-8-2     no    
    58732      2018-2-6     no    
    58470      2017-1-20    no    
    89739      2018-3-15    no    
    63701      2016-5-9     no    
    50678      2017-3-24    yes   
    89643      2018-11-6    no    
    53012      2017-7-2     no    
    84214      2018-1-7     yes   
    65568      2017-11-23   no    
    80717      2018-7-20    yes   
    52773      2018-12-17   no    
    69223      2017-11-8    yes   
    41248      2017-11-15   yes   
    39234      2020-1-1     no    
